audio_id,collecteur_id,speaker,age,sexe,position,type_item,decision
P02_S02_ISO01.wav,P02,S02,45,F,NA,isole,correct
P02_S02_P04.wav,P02,S02,45,F,NA,phrase,correct
P02_S02_P06.wav,P02,S02,45,F,NA,phrase,correct
P02_S02_SYL01.wav,P02,S02,45,F,NA,syllabe,correct
P02_S02_SYL02.wav,P02,S02,45,F,NA,syllabe,correct
P02_S02_W_F01.wav,P02,S02,45,F,final,mot,correct
P02_S02_W_F02.wav,P02,S02,45,F,final,mot,correct
P02_S02_W_F03.wav,P02,S02,45,F,final,mot,correct
P02_S02_W_F04.wav,P02,S02,45,F,final,mot,correct
P02_S02_W_I03.wav,P02,S02,45,F,initial,mot,correct
P02_S02_W_I04.wav,P02,S02,45,F,initial,mot,correct
P02_S02_W_M04.wav,P02,S02,45,F,median,mot,correct
P02_S03_ISO01.wav,P02,S03,12,F,NA,isole,correct
P02_S03_P04.wav,P02,S03,12,F,NA,phrase,correct
P02_S03_P06.wav,P02,S03,12,F,NA,phrase,correct
P02_S03_SYL01.wav,P02,S03,12,F,NA,syllabe,correct
P02_S03_SYL02.wav,P02,S03,12,F,NA,syllabe,correct
P02_S03_W_F01.wav,P02,S03,12,F,final,mot,correct
P02_S03_W_F02.wav,P02,S03,12,F,final,mot,correct
P02_S03_W_F03.wav,P02,S03,12,F,final,mot,correct
P02_S03_W_F04.wav,P02,S03,12,F,final,mot,correct
P02_S03_W_I03.wav,P02,S03,12,F,initial,mot,correct
P02_S03_W_I04.wav,P02,S03,12,F,initial,mot,correct
P02_S03_W_M04.wav,P02,S03,12,F,median,mot,correct
P04_S01_W_M01.wav,P04,S01,37,F,median,mot,correct
P04_S01_W_I05.wav,P04,S01,37,F,initial,mot,correct
P04_S01_W_I01.wav,P04,S01,37,F,initial,mot,correct
P04_S01_W_I03.wav,P04,S01,37,F,initial,mot,correct
P04_S01_P03.wav,P04,S01,37,F,NA,phrase,correct
P04_S01_P09.wav,P04,S01,37,F,NA,phrase,correct
P04_S01_SYL03.wav,P04,S01,37,F,NA,syllabe,correct
P04_S01_SYL02.wav,P04,S01,37,F,NA,syllabe,correct
P04_S01_W_M03.wav,P04,S01,37,F,median,mot,correct
P04_S01_P05.wav,P04,S01,37,F,NA,phrase,correct
P04_S01_W_M02.wav,P04,S01,37,F,median,mot,correct
P04_S01_W_F05.wav,P04,S01,37,F,final,mot,correct
P04_S02_W_M01.wav,P04,S02,38,F,median,mot,correct
P04_S02_W_I05.wav,P04,S02,38,F,initial,mot,correct
P04_S02_W_I01.wav,P04,S02,38,F,initial,mot,correct
P04_S02_W_I03.wav,P04,S02,38,F,initial,mot,correct
P04_S02_P03.wav,P04,S02,38,F,NA,phrase,correct
P04_S02_P09.wav,P04,S02,38,F,NA,phrase,correct
P04_S02_SYL03.wav,P04,S02,38,F,NA,syllabe,correct
P04_S02_SYL02.wav,P04,S02,38,F,NA,syllabe,correct
P04_S02_W_M03.wav,P04,S02,38,F,median,mot,correct
P04_S02_P05.wav,P04,S02,38,F,NA,phrase,correct
P04_S02_W_M02.wav,P04,S02,38,F,median,mot,correct
P04_S02_W_F05.wav,P04,S02,38,F,final,mot,correct
P07_S01_SYL02.wav,P07,S01,54,F,NA,syllabe,correct
P07_S01_P06.wav,P07,S01,54,F,NA,phrase,correct
P07_S01_W_I04.wav,P07,S01,54,F,initial,mot,correct
P07_S01_P08.wav,P07,S01,54,F,NA,phrase,correct
P07_S01_SYL03.wav,P07,S01,54,F,NA,syllabe,correct
P07_S01_W_M03.wav,P07,S01,54,F,median,mot,correct
P07_S01_W_I05.wav,P07,S01,54,F,initial,mot,correct
P07_S01_W_M05.wav,P07,S01,54,F,median,mot,correct
P07_S01_W_F05.wav,P07,S01,54,F,final,mot,correct
P07_S01_W_M02.wav,P07,S01,54,F,median,mot,correct
P07_S01_W_I02.wav,P07,S01,54,F,initial,mot,correct
P07_S01_W_F06.wav,P07,S01,54,F,final,mot,correct
P08_S01_W_M02.wav,P08,S01,31,F,median,mot,correct
P08_S01_W_I03.wav,P08,S01,31,F,initial,mot,correct
P08_S01_W_F06.wav,P08,S01,31,F,final,mot,correct
P08_S01_W_I05.wav,P08,S01,31,F,initial,mot,correct
P08_S01_P01.wav,P08,S01,31,F,NA,phrase,correct
P08_S01_P07.wav,P08,S01,31,F,NA,phrase,correct
P08_S01_W_F05.wav,P08,S01,31,F,final,mot,correct
